model_name,model_version,run_point,yoda_files,map_name,stat_type,combined_exclusion
,,0022,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0022/runpoint_0022.yoda.gz']",my_run,EXP,0.9999999999985415
,,0022,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0022/runpoint_0022.yoda.gz']",my_run,HLEXP,1
,,0022,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0022/runpoint_0022.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0022/runpoint_0022.yoda.gz']",my_run,SMBG,0.99999997400676577
,,0023,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0023/runpoint_0023.yoda.gz']",my_run,EXP,0.99999999999901978
,,0023,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0023/runpoint_0023.yoda.gz']",my_run,HLEXP,1
,,0023,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0023/runpoint_0023.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0023/runpoint_0023.yoda.gz']",my_run,SMBG,0.99999995326055913
,,0024,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0024/runpoint_0024.yoda.gz']",my_run,EXP,0.99999999999571765
,,0024,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0024/runpoint_0024.yoda.gz']",my_run,HLEXP,1
,,0024,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0024/runpoint_0024.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0024/runpoint_0024.yoda.gz']",my_run,SMBG,0.99999980777015651
,,0025,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0025/runpoint_0025.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0025/runpoint_0025.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0025/runpoint_0025.yoda.gz']",my_run,EXP,0.9999999999998731
,,0025,"['/unix/cedar/junyingwu/contur_compare/grid_snapshot/13TeV/0025/runpoint_0025.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/7TeV/0025/runpoint_0025.yoda.gz', '/unix/cedar/junyingwu/contur_compare/grid_snapshot/8TeV/0025/runpoint_0025.yoda.gz']",my_run,HLEXP,1
